KOI,flag,KIC,name,period,Rp,Rp_Uerr,Rp_Lerr,Sp,Sp_Uerr,Sp_Lerr,Teff,Teff_Uerr,Teff_Lerr,Rstar,Rstar_Uerr,Rstar_Lerr,MES,score
3282.01,,12066569,Kepler-1455 b,49.27684,1.75,0.09,0.13,1.28,0.26,0.26,3899,78,78,0.53,0.03,0.04,14.7,0.996
3284.01,,6497146,Kepler-438 b,35.23319,0.97,0.06,0.07,1.62,0.37,0.34,3749,75,84,0.52,0.03,0.04,11.9,1
3497.01,,8424002,Kepler-1512 b,20.35972,0.8,0.12,0.16,1.38,0.58,0.58,3419,67,76,0.34,0.05,0.07,19.6,1
4005.01,a,8142787,Kepler-439 b,178.1396,2.25,0.22,0.16,1.7,0.47,0.31,5431,81,81,0.88,0.09,0.06,17.8,0.997
4036.01,,11415243,Kepler-1544 b,168.81133,1.69,0.1,0.06,0.8,0.17,0.12,4798,95,95,0.71,0.04,0.03,14.8,0.965
4087.01,,6106282,Kepler-440 b,101.11141,1.61,0.1,0.08,0.65,0.14,0.11,4133,74,82,0.56,0.03,0.03,15.7,1
4356.01,a,8459663,Kepler-1593 b,174.51028,1.74,0.14,0.2,0.28,0.09,0.09,4367,124,155,0.45,0.04,0.05,11,0.976
4427.01,,4172805,,147.66173,1.59,0.12,0.14,0.23,0.06,0.05,3788,76,84,0.49,0.04,0.04,10.8,0.969
4460.01,,9947389,,284.72721,2.02,0.3,0.29,1.41,0.55,0.44,5497,82,74,1.08,0.16,0.16,10.7,0.972
4550.01,,5977470,,140.25194,1.84,0.05,0.12,1.28,0.17,0.24,4821,76,86,0.79,0.02,0.05,9.6,0.934
4622.01,,11284772,Kepler-441 b,207.2482,1.56,0.09,0.06,0.3,0.06,0.05,4339,78,87,0.55,0.03,0.02,9.7,0.975
4742.01,,4138008,Kepler-442 b,112.3053,1.3,0.07,0.05,0.79,0.15,0.11,4401,78,78,0.59,0.03,0.02,12.9,0.993
7016.01,,8311864,Kepler-452 b,384.843,1.09,0.2,0.1,0.56,0.32,0.15,5579,150,150,0.8,0.15,0.07,7.6,0.771
7223.01,,9674320,,317.06242,1.59,0.27,0.12,0.54,0.29,0.13,5366,160,144,0.71,0.12,0.05,10.3,0.947
7706.01,,4762283,,42.04952,1.19,0.08,0.16,2,0.55,0.68,4281,115,140,0.48,0.03,0.06,7.5,0.837
7711.01,,4940203,,302.77982,1.31,0.34,0.12,0.87,0.66,0.22,5734,154,154,0.8,0.21,0.07,8.5,0.987
7882.01,,8364232,,65.41518,1.31,0.08,0.12,1.79,0.49,0.47,4348,130,130,0.65,0.04,0.06,7.2,0.529
7894.01,,8555967,,347.97611,1.62,0.49,0.15,0.97,0.87,0.27,5995,163,181,0.88,0.27,0.08,8.5,0.837
7923.01,,9084569,,395.13138,0.97,0.12,0.1,0.44,0.2,0.13,5060,192,174,0.87,0.1,0.09,10,0.75
7954.01,,9650762,,372.15035,1.74,0.46,0.14,0.69,0.52,0.18,5769,155,172,0.81,0.21,0.07,8.9,0.839
8000.01,,10331279,,225.48805,1.7,0.43,0.14,1.2,0.9,0.3,5663,169,152,0.78,0.19,0.07,8.7,0.975
8012.01,,10452252,,34.57372,0.42,0.17,0.12,0.37,0.47,0.19,3374,112,82,0.22,0.09,0.06,7.7,0.989
8174.01,,8873873,,295.06066,0.64,0.07,0.07,0.7,0.28,0.21,5332,160,144,0.76,0.09,0.09,7.4,0.665
